ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real
1008901539,Battle of Dallas——Biocyborg War 1,Tabletop Games,Games,USD,1/16/2018,2000,12/19/2017 7:32,52,canceled,6,US,0,52,2000
101640075,Abandoned Places/Race Track Documentary,Film & Video,Film & Video,USD,1/1/2018,4000,12/2/2017 0:21,1,failed,1,US,0,1,4000
1022344825,WIJ Apparel,Apparel,Fashion,USD,1/18/2018,4000,12/19/2017 10:26,0,canceled,0,US,0,0,4000
1031685482,You Sparkle Inside: A Kids' Book + Commissions & Co-creation,Children's Books,Publishing,USD,1/2/2018,2000,12/6/2017 23:08,6083,successful,133,US,1054,6083,2000
1033181268,My Debut Album,Music,Music,USD,1/1/2018,1500,12/11/2017 21:34,5,failed,1,US,5,5,1500
1039428183,Python - World’s Smallest Titanium Tactical EDC Micro Blade,Product Design,Design,USD,1/3/2018,3000,12/13/2017 7:57,1255,canceled,29,US,1255,1255,3000
1041133887,Lords Of Arendye,Video Games,Games,USD,2/24/2018,20000,12/26/2017 17:58,111,canceled,3,US,10,111,20000
1047998329,Resonant Bodies Festival End-of-Year Donation Extravaganza!,Classical Music,Music,USD,1/1/2018,5500,11/27/2017 3:55,5750,successful,62,US,90,5750,5500
1057488050,15 Games,Tabletop Games,Games,USD,1/5/2018,1000,12/31/2017 13:53,1,canceled,1,US,0,1,1000
1085412521,Dogs Pooping Calendar,Calendars,Publishing,USD,1/1/2018,2500,12/2/2017 5:43,150,failed,5,US,130,150,2500
1092489408,Photographic Memory: Polaroids to Remember Who We Are,People,Photography,USD,1/1/2018,3000,12/1/2017 17:21,3055,successful,37,US,154,3055,3000
109562519,Soloman Zimri First 100 Original Vinyl Albums,Punk,Music,USD,1/21/2018,3000,12/22/2017 22:23,10,canceled,1,US,10,10,3000
1097309900,Focus Comic - An Autistic Super Hero Arrives,Comic Books,Comics,USD,1/2/2018,4500,11/3/2017 8:49,6612,successful,133,US,417,6612,4500
1102496063,ROBLOX: A Game Development,Video Games,Games,USD,1/1/2018,420,12/12/2017 17:33,51,failed,2,US,1,51,420
1107573212,X-Dice,Tabletop Games,Games,USD,1/1/2018,6000,12/4/2017 18:10,1870,failed,57,US,359,1870,6000
1110190997,The SNOWMAN - original horror screenplay,Graphic Novels,Comics,USD,1/1/2018,15000,12/2/2017 3:35,0,failed,0,US,0,0,15000
1125429077,Inclusive: A Pop Culture Party Game,Games,Games,USD,1/2/2018,1500,12/3/2017 2:57,55,failed,3,US,5,55,1500
1125909364,Millustrations (an art experiment) - Accepting commissions,Sculpture,Art,USD,1/1/2018,15000,12/1/2017 15:12,0,canceled,0,US,0,0,15000
1131972424,Organic Game Bird Farms,Farms,Food,USD,1/1/2018,20000,12/2/2017 3:32,85,failed,3,US,0,85,20000
113242194,Diaper Bag Backpack-Style & Function Collide with Adventure,Accessories,Fashion,USD,1/1/2018,10000,12/1/2017 16:43,10069,successful,82,US,2393,10069,10000
115174177,African Connection Apparel - The Modern African Clothing,Fashion,Fashion,USD,1/1/2018,5000,12/2/2017 20:36,161,canceled,4,US,0,161,5000
1154301497,ChelseaT - A professional women's apparel solution.,Apparel,Fashion,USD,1/15/2018,13000,11/16/2017 0:11,25,canceled,1,US,0,25,13000
1164988854,PURSEY designer leather handbags,Accessories,Fashion,USD,1/1/2018,7500,11/29/2017 2:43,10155,successful,38,US,1485,10155,7500
1175318550,Dichotomy Keyboard and Mouse,Hardware,Technology,USD,1/1/2018,20000,11/29/2017 21:34,1092,failed,12,US,336,1092,20000
